id,name_en,qid,matched_label,match_flag,ko,ja,zh,de,fr,es,vi
18,Sun Yat-Sen University,Q178972,Sun Yat-sen University,ok,중산 대학,中山大学,中山大学,Sun-Yat-sen-Universität,université Sun Yat-sen,Universidad Sun Yat-sen,Đại học Trung Sơn
20,Hunan University,Q649868,Hunan University,ok,후난 대학,湖南大学,湖南大学,Hunan-Universität,université du Hunan,,
21,University of Portsmouth,Q2744209,University of Portsmouth,ok,,ポーツマス大学,樸茨茅斯大學,University of Portsmouth,Université de Portsmouth,,Đại học Portsmouth
76,University of Massachusetts Boston,Q15144,University of Massachusetts Boston,ok,매사추세츠 대학교 보스턴,マサチューセッツ大学ボストン校,麻州大學波士頓分校,University of Massachusetts Boston,Université du Massachusetts à Boston,Universidad de Massachusetts Boston,Đại học Massachusetts tại Boston
174,American University,Q168000,American University,ok,아메리칸 대학교,アメリカン大学,美利坚大学,American University,American University,Universidad Americana,
186,Arizona State University,Q670897,Arizona State University,ok,애리조나 주립 대학교,アリゾナ州立大学,亞利桑那州立大學,Arizona State University,Université d'État de l'Arizona,Universidad Estatal de Arizona,Đại học Tiểu bang Arizona
193,Auburn University,Q540672,Auburn University,ok,오번 대학교,オーバーン大学,歐本大學,Auburn University,Université d'Auburn,Universidad de Auburn,Đại học Auburn
215,Baylor University,Q812573,Baylor University,ok,베일러 대학교,ベイラー大学,貝勒大學,Baylor University,Université Baylor,Universidad Baylor,
235,Boston College,Q49118,Boston College,ok,보스턴 대학교,ボストンカレッジ,波士顿学院,Boston College,Boston College,Boston College,Cao đẳng Boston
237,Boston University,Q49110,Boston University,ok,보스턴 대학교,ボストン大学,波士頓大學,Boston University,Université de Boston,Universidad de Boston,Đại học Boston
242,Brandeis University,Q49119,Brandeis University,ok,브랜다이스 대학교,ブランダイス大学,布兰戴斯大学,Brandeis University,Université Brandeis,Universidad Brandeis,Đại học Brandeis
246,Brigham Young University,Q332498,Brigham Young University,ok,브리검영 대학교,ブリガム・ヤング大学,楊百翰大學,Brigham Young University,Université Brigham-Young,Universidad Brigham Young,Đại học Brigham Young
250,Brown University,Q49114,Brown University,ok,브라운 대학교,ブラウン大学,布朗大学,Brown University,Université Brown,Universidad Brown,Đại học Brown
287,Carnegie Mellon University,Q190080,Carnegie Mellon University,ok,카네기 멜론 대학교,カーネギーメロン大学,卡内基梅隆大学,Carnegie Mellon University,Université Carnegie-Mellon,Universidad Carnegie Mellon,Carnegie Mellon University
